Title,Price,Brand,RAM,Rating,Storage,Windows,Color,Processor
"Dell 15, Intel Core 3 14th Gen-100U, 16GB DDR4, 512GB SSD, FHD IPS, 15.6""/39.62cm, Win 11 Office H&S 2024, Carbon Black, 1.63Kg, Intel UHD Graphics, Thin & Light, Laptop Model NO - Dell 15 DCU5250","44,326",DELL,16GB,3.9,512GB,Windows 11,Black,N/A
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","41,610",LENOVO,16GB,4.0,512GB,Windows 11,N/A,N/A
"ASUS Vivobook 14,Smartchoice,AMD Ryzen AI 5 330, 16GB RAM, 512GB SSD,FHD+ 14"", Win11,Office24, M365 Basic (1Yr)*,Quiet Blue, 1.46Kg,M1407KA-LY132WS,AMD Radeon iGPU, 50 Tops,Next-Gen AI Laptop,Copilot+","59,990",ASUS,16GB,3.3,512GB,Windows 11,Blue,N/A
"Dell 15, Intel Core i5 13th Gen-1334U Processor, 16GB DDR4, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, MSO 2024, Grey, 1.66kg, [Vostro 3530], 120Hz 250 nits, 15 Month McAfee, Thin & Light, Laptop","56,990",DELL,16GB,3.7,512GB,Windows 11,N/A,Intel Core i5
"Dell 15, Intel Core 3 14th Gen-100U, 16GB DDR4, 512GB SSD, FHD IPS, 15.6""/39.62cm, Win 11 Office H&S 2024, Carbon Black, 1.63Kg, Intel UHD Graphics, Thin & Light, Laptop Model NO - Dell 15 DCU5250","44,326",DELL,16GB,3.9,512GB,Windows 11,Black,N/A
"Lenovo V15 Intel Core i3 13th Gen (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey) 15.6"" FHD (1920x1080) Antiglare 250 Nits Thin & Light Laptop/1Y Onsite/1.65 kg, 83CCA08KIN",N/A,LENOVO,16GB,4.0,512GB,Windows 11,N/A,Intel Core i3
Thomson NEO 14.1 Inch IN-N14C Intel Celeron Dual Core N4020 Processor Windows 11 Home Notebook (8 GB RAM DDR4/ 256 GB SSD/Thin & Light Weight/Silver/Non Stop Performance Beyond 15 Hrs),"17,990",THOMSON,8GB,4.5,256GB,Windows 11,Silver,N/A
"Dell SmartChoice G15-5530, Intel Core i5 13th Gen - 13450HX, NVIDIA RTX 3050-6GB, 16GB RAM, 1TB SSD, FHD 15.6""/39.62 cm, Windows 11 Home, MS Office 21, Dark Shadow Grey, 2.65Kg Gaming Laptop","77,787",DELL,16GB,4.0,1TB,Windows 11,N/A,Intel Core i5
"HP Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x,1TB SSD) 2K OLED,16''/40.6cm, Win11, M365*Office24, Glacier Silver, 1.59kg, fb0001QU, Backlit, Next-Gen AI Laptop","69,990",HP,16GB,4.1,1TB,Windows 11,Silver,N/A
"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg), 83A0A0PBIN","45,490",LENOVO,8GB,3.8,512GB,Windows 11,N/A,Intel Core i3
